"ID","AGENT","AGENT_NAME","DATE","DESTINATION","DOOR_NO","LINE","STARTING_AT","TRAIN_NUMBER","TRAIN_TYPE","WAGON_NO"
"1","0","J S","2016-08-07","","0","","","","ET423","0"
"2","4","Jakob Schöttl","2016-08-08","Mammendorf","9","S3","Otterfing","","ET423","2"
"3","19","","2016-08-08","","0","","","","ET423","0"
"4","25","Jakob Schöttl","2016-08-08","Holzkirchen","3","S3","Hauptbahnhof","","ET423","2"
"5","0","","2016-08-08","","0","","","","ET423","0"
"6","51","","2016-08-08","","0","","","","ET423","0"
"7","0","","2016-08-08","","0","","","","ET423","0"
"8","0","","2016-08-08","","0","","","","ET423","0"
"9","0","","2016-08-08","","0","","","","ET423","0"
"10","0","","2016-08-08","","0","","","","ET423","0"
"11","58","","2016-08-08","","0","","","","ET423","0"
"12","0","","2016-08-08","","0","","","","ET423","0"
"13","0","","2016-08-08","","0","","","","ET423","0"
"14","0","","2016-08-08","","0","","","","ET423","0"
"15","0","","2016-08-08","","0","","","","ET423","0"
"16","0","","2016-08-08","","0","","","","ET423","0"
"17","0","","2016-08-08","","0","","","","ET423","0"
"18","0","","2016-08-08","","0","","","","ET423","0"
"19","0","","2016-08-08","","0","","","","ET423","0"
"20","0","","2016-08-08","","0","","","","ET423","0"
"21","0","","2016-08-08","","0","","","","ET423","0"
"22","0","","2016-08-08","","0","","","","ET423","0"
"23","0","","2016-08-08","","0","","","","ET423","0"
"24","0","","2016-08-08","","0","","","","ET423","0"
"25","0","","2016-08-08","","0","","","","ET423","0"
"26","0","Jakob Schöttl","2016-08-08","Mammendorf","6","S3","Otterfing","","ET423","2"
